User,Time,Content
卡拉马佐夫,2009/11/24 17:55,雨果所说的“本世纪的三大问题，贫穷使男子潦倒，饥饿使妇女堕落，黑暗使儿童羸弱。”在二十一世纪就得到解决了吗？悲惨世界让我深思。
绿眼怪兽,2008/3/10 10:15,"逆境,让意志坚定的人灵魂得到升华, 让意志薄弱的人变得丑陋卑鄙."
dellizheng,2013/1/28 15:51,第三次认真读《悲惨世界》，书是常读常新的。第一次读还小，主要看情节。喜欢把自己想象成故事中的人物，幻想自己像冉阿让一样抱着珂赛特穿梭于街巷中躲避沙威的追捕，或是像马吕斯一样隐匿在卢森堡公园阴暗的角落捕捉心上人眼中的光芒。第二次读主要想看书中关于革命的部分——从1793年的风云激荡到1832年的巴黎暴动——以资历史复习之用。虽然历史仍旧读得一知半解，冉阿让却成为我心中和萧峰并列的圣人形象。这次读是因为要看电影，就又读了一遍。这一次我尽力用我自己的心去贴近书中的人物，贴近他们的内心，去体会冉阿让的愤怒，去感知沙威的挣扎。有一种经典是会让人纠结不已的，因为没有人有罪却受尽磨难，怪谁呢？不怪任何人，又怪所有人。
什一,2015/6/13 19:16,倒不觉得那个世界有多少悲惨 倒是充满了温情
草草木木人人,2013/3/11 14:14,小学的时候看的，所以现在满脑子都是不忍心和自我牺牲。可时代早变了。
末摘花,2018/5/30 18:24,大气厚重历史感强
多饮一杯白开水,2010/9/5 18:53,"他安息了，尽管命运多舛，
他仍偷生，失去了他的天使他就丧生，
事情是自然而然地发生，
就如同夜幕降临，白日西沉。"
队长别开枪是我,2016/2/23 15:42,"小学二年级
每晚临睡前，我姐捧着书念给我听。
我姐姐一边念一边抹眼泪儿~"
大头绿豆,2017/3/3 15:48,大爱。那些苦难，只是光辉人性的背景而已。卷帙浩繁，今人读来可能嫌铺陈过火，穿插的思考也似乎与故事关联不大，但，我恰恰喜欢那种娓娓道来，仿佛与一位已经沧海浮沉的长者倾谈。「王尔德：读《悲惨世界》而不发笑者，此人必是铁石心肠。」
芒果兜,2015/9/18 22:43,到最后几章，实在是痛到哭出来。太痛苦了，太悲痛了，内心要有多强大的人，才能做到像冉阿让那样，人活着不易，能活成这样更是不容易。可赛特有这样一个父亲多幸运，直到冉阿让要走了也不知道他不是自己的亲生父亲，因为那不重要，那伟大的父爱无关于谁是谁。冉阿让一生未娶，只为了可怜的芳烃的女儿，小可赛特。那些个句子雨果写的太美太美了；所谓经典，就是如此罢
雨天晒被子,2013/6/6 11:51,这是在这个学校图书馆借的最后一本书，今天图书馆大门已经对我封锁了，本想查看看大学五年借了多少本书，结果只有“查无此生”！
思考的猫,2014/6/15 9:25,这真是雨果人生阅历丰富之后，集其所思所感的集大成之作，震撼人心之杰作！
沈子颜,2014/10/23 18:56,愿所有人的悲苦均可以早日过去...
安吉,2014/5/25 15:37,不是很喜欢这本书。看的时候我一直在想，一本小说能承受多少故事以外的东西。一直以来无法接受鲁迅的文章，加进了太多的个人情绪和民族情感的小说，会让读者很吃力。巨著，自然有它精彩的原因，在它所在的时代，和带来的影响或许才是它具有影响力的原因。我不喜欢死读书，所以暂时准备不继续看下去了。既然我喜欢毛姆、托尔斯泰，那么就先看他们的书吧。自有一天，我有足够的沉淀和底蕴，会主动恭敬的捧着它，无论有多么厚重，都将逐字入心。
闻人林,2012/8/9 7:29,哭至人事不省。
信心不逆熊先生,2019/5/3 14:03,冉阿让临终前问道：“我不知道把烛台送给我的那一位，在天上对我是否满意。我已经尽力而为了。”读到结尾，眼泪就止不住往下掉。为这苦难的世界，为这“誓愿修成天使”的人。看完这部作品，我相信灵魂是可以被拯救的，我相信这世间所有的黑暗都是可以被驱散的。小说的开头，迪涅主教谈及自己时认为“我在这世上，不是守护自己的生命，而是守护灵魂”的。苦役犯冉阿让于是因为主教的光而找到了自己的天职而被救赎了，从深渊中从地狱中爬了出来。后来，他的一生就可以用《华严经》中的这句来概括：“于诸病苦，为作良医。于失道者，示其正路。于暗夜中，为作光明。”冉阿让去世前对义女珂赛特和她丈夫最后嘱托说“我要走了，我的孩子，你们要永远相爱。世上除了相爱，没有什么别的东西。”大概这就是全书的主题了吧。
尘风,2015/8/14 17:42,以此缅怀天津爆炸悲剧
盼芷,2013/4/13 18:50,其實故事是真的很好看，但是我真的不認同那種扯出去很遠夾敘夾議的寫法。在小說創作上一定程度上我是同意亞氏的思想的。
Mr.Savage,2013/1/18 1:08,我要哭啦
沈十六,2015/6/18 22:04,冉阿让
毛筆小馨,2013/3/3 2:10,誰說改編名著必定失敗？
霍乱,2013/3/22 23:09,重读一遍还是会感动。翻译也大佳。
白丁,2013/4/23 22:50,童年的善良启蒙。
图南,2015/11/19 17:28,夹杂了很多当时的社会背景的描写，比如说法国大革命，对于这段历史我了解太少，所以看得很费力。
千颜,2015/12/24 16:09,人性的救赎。
白木槿,2011/4/30 20:56,看的就是这个版本呀
海上蘭舟,2008/4/3 10:55,大故事
晃日,2013/3/5 0:41,其实内容大都不记得了。只记得这是我少年时期读过的最牛逼的故事。哪天要重读一遍。
Mravinsky,2016/6/26 19:35,顶峰的经典，最好的译本。
Farmingosis,2015/12/11 12:31,时代·革命·风云激荡
栉风沐雨,2013/3/26 17:49,里面有着大量的心理，历史的描写。果然比电影强太多了
^阳宝^,2015/4/20 16:14,在听
薄荷柠檬,2013/2/3 19:38,看完电影又重新读了一遍原著
Captain,2013/5/13 13:42,写的的确无敌好。。
不靠谱青年苏打,2015/8/13 14:06,我觉得主人公很蠢 当然可能是我三观扭曲吧 ╮(╯▽╰)╭
"熹微,西薇",2008/10/12 21:51,我们的世界美丽的是光与善良。
skyblue,2012/8/13 21:40,这个翻译.. 最后那首诗！生来死去 是人生的规律 昼去夜来 也是同样的道理。记得五年级的时候看完泪崩，被人笑。书中文字读来是丝丝的甜，独自阅读的夜晚总是那么美好。
bite me,2010/9/8 1:46,十分剧情
老鼠,2010/4/20 15:58,初中时代。。。印象最深的所谓“名著”
*_*,2015/8/20 12:46,£
JQK,2017/11/9 13:17,在喜马拉雅听完的，之前看书的时候一直卡在描写滑铁卢那一部分，听的话就顺畅多了
dy,2013/6/3 16:47,终于看完了~作者很啰嗦~~kindle版整体不错，有个别错别字。
已注销销销,2015/6/12 8:52,震撼 读完以后很失落
Eva,2009/9/26 23:34,译得不错，第一部 也是很少有的让我看入迷的大部头
天天开心小蘑菇,2008/5/22 21:13,悲惨世界
骄傲无可救药,2015/12/7 23:29,卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。
一一,2011/2/7 17:08,总之。格朗泰尔和安灼飞你们最终还是双双化蝶了人家很感动=w=。反映的社会现实很深刻。看得时间拖太长以至于苦难们都无法深刻震撼我了。被悲剧噎死过N次的人表示这结局很不错了。。其实结局还可以再虐一点再忘恩负义点的，这样绝对让人一辈子忘不了。（喂！
梅森路易玛丽四,2013/3/5 23:17,这本书不是重点 重点是这个封面 多少小时候看的书都是这个系列的 这个封面戳到泪点了 恨不得大哭一场 再见小时候 再见无忧无虑只有庇护和书本的年代
逆流沙wing,2012/8/17 11:33,高一看的，借老庚的书。 在音乐剧《悲惨世界》电影版上映前，重温一下经典。说起来这套《世界文学文库》装订和纸张质量实在不敢恭维，只要在摊开看书的时候.轻轻用力，书就断了，当年翻书翻得胆战心惊的。
Aubrey,2014/3/28 8:09,看完电影之后的重读
细嗅蔷薇�,2015/11/21 21:25,看得心碎，真是好书。这书里面我最不喜欢的就是这段爱情。其它都很好。
柯希莫的枷锁,2016/1/30 13:03,每个角色都值得为他痛哭一场，雨果真是营造矛盾和塑造人物的大师啊
雪白的世界,2011/3/15 12:37,因为喜欢自由，所以爱上法国，因为喜欢浪漫，所以倾心雨果。还有更多内在的东西，雨果一个个给你诠释清楚了。只感受到伟大，就好像马吕斯当初膜拜父亲后来膜拜冉阿让般，不由自主的下跪。我虽不信仰上帝，但却信仰真善美。名著果然是名著啊。
D调de玄小鹤,2015/10/27 23:26,时代感很强，现在早已没有当时那般有气节的人，然而正是如此，这严肃的、厚重的、光芒万丈的人性史诗才让人沉痛又欣慰。这个故事，值得花一生时间一读再读
小明莉,2011/10/26 21:27,它是我钟爱的一本书
梨雪兒喜欢荔枝,2013/4/10 16:10,最喜欢的场面有两个：一为卞福汝主教与共和党人x的对话（书中）。二为冉阿让背着战伤的马吕斯通过地井的场面（电影）。看到有些评论说此书中最悲惨的人物不过为沙威。在看到一个囚犯的境界已经超乎法律的时候，他的内心是矛盾的。而他也即将会被引到另一个深渊中，他不擅长于思考。当矛盾来临时，尽心尽力写了一份忠告书。他坚持到了最后，忠守<法律>。但他也是个粗鲁之人，最终无法超越界限，冉阿让是他忠守<法律>的唯一支柱。所以，他坠入黑漩涡的结果还是比较合理的。无法接受——这个人物也应该反映着当时，开始有觉悟但既无法回首也无法前进的一些法国人吧。
CaptainToffee,2011/4/11 11:40,我看的是这个版本的，其他译本没看过，李玉民译得很不错的。这本书是我的圣经啊！！！！！！！！看了N遍了！！！！从小学3年级开始看《悲惨世界》连环画，初一看简写版（有原著1/3厚，省掉了历史情节），初二看这个版本，高中又看几遍，上了大学还不远万里带到学校去看，换了几个校区都随身带着！！！这是我最爱的书了！！！
M.,2013/3/30 22:37,诚然，沙威才是最悲惨的人物。
[已注销],2013/9/14 2:13,真叨叨
Insomnia,2014/3/31 16:50,有声书听完，感觉其意义并不大
Wilson,2015/4/12 22:29,最喜欢的书！爱别人，才能得救赎！
高丸,2011/2/25 23:05,可以打十星么？毫无疑问的人生至爱
伍德叔叔的小屋,2013/3/16 17:35,我能说 我是初中看了这部小说 被主人公冉阿让彻底给影响了么、曾近有一段时间  一直往自己身上去灌输他的元素、
八嗡嗡,2015/1/25 20:07,不灭的人性，才是我们心中最壮美的奇迹。
lisha,2015/12/18 16:59,知乎上被某人奉为本命，“悲惨世界是一流文学，巴黎圣母院是二流小说 ”。雨果說不要過於苛責馬裏於斯，辦不到啊，心糾結得發顫。終於知道為何珂赛特馬裏於斯終成眷屬卻仍舊叫悲慘世界了。因為所有我喜愛的人物（主教/艾潘妮/老馬伯夫先生/加弗羅什/ABC們/沙威/冉阿讓）都悲慘逝去了。
time,2008/5/27 17:04,满。。。适合激励少年的我的。。
Miao.Chan,2009/3/7 0:46,开始读，大概只是因为珂赛特很漂亮
溺水的鱼,2010/1/25 22:32,初中第一次读 看了很多遍
OOI,2019/5/5 19:07,高潮部分很精彩，和我现在小说通常结构很不一样，也让我更有胆量写自己的结构，我能在有限的时间里写出杰作吗
星星小鱼儿,2015/1/12 17:57,2014年最后一本书 冉阿让真是一个好人 冉卫也不是坏人 只是太执着于原则 马吕斯真心小白脸><看完再看音乐剧 更加觉得歌那么感人！
Euan,2011/10/4 10:09,最后命运悲悯的人一个接一个离去，眼看盼来美满结局，最后一杯苦酒之后，冉阿让最终离去。我曾以为我再也掉不出一滴眼泪。
二狗和银他妈,2013/1/24 20:51,多年前读过，压抑，不日再重温一遍
旖旎,2013/1/29 23:33,妈妈最喜欢的一本书，也是我正式读的第一本外国长篇小说。
moon茫然中,2012/6/9 4:00,太爱了
宠物,2012/1/1 14:57,小时候看过动画片，觉得很好，可是书似乎比动画讲的更残忍，最后冉-啊让只得自己孤独终老
reniaL,2008/4/29 23:31,改变我一生的书
CaroleZh,2008/4/20 12:28,看到凌晨4点哭到天亮的记忆怎么能忘。
低端,2016/1/28 21:28,爱的救赎
Mark,2015/1/20 22:34,评分好高啊，超过9啊。。可惜我对雨果的作品就是读不出感觉啊。。没缘分啊
大都会野生仓鼠,2017/6/1 22:46,#初中#少年文学梦杀手－－北京燕山
婧婧,2007/9/19 15:59,冉阿让 珂赛特 马吕斯彭迈西
Daisy_轩,2013/3/31 20:41,看到最后哭的不能自已 不愧是名著 里面有很多真知灼见
北极海阳光,2013/5/13 23:32,还是相信人总是趋向于光明的，无论现实世界多黑暗。内生的力量才是最强大的。坚持自有它的意义。
Lasombra,2015/11/29 3:05,看完电影和musical再补原著别有一番风味，好多background在剧里完全没涉及，然而人物心理的张力却不如音乐剧
..1..1..1..,2013/3/10 22:25,怀念ing
Mosy,2015/4/20 0:39,太虐太虐
一白,2009/7/15 10:26,My favourite novel
天涯鹿鹿,2009/6/11 14:06,冉阿让
已注销,2009/11/10 12:49,要写论文啊！！！
许陌北,2009/12/26 13:19,。
拧发条鸟,2010/8/24 15:01,人类苦难的百科全书，启示录
轻亲苹果香,2013/9/25 15:42,在看过电影音乐剧后，我开始翻看小说。读的是简约版的。
Mr.Who,2011/3/6 15:15,必读的经典
湖,2011/7/17 21:46,无与伦比
Edouard,2013/2/28 0:32,经典一出，谁与争锋
Leon,2016/1/22 15:50,比起名声在外的巴黎圣母院，我是更喜欢这部的，记得初中的时候看，还因为冉阿金想做好人而不可得的经历哭过。
畅激昂,2015/6/6 7:16,雨果叙述夹议论的写出了有一种经典是会让人纠结不已的，因为没有人有罪却受尽磨难，怪谁呢？不怪任何人，又怪所有人。他安息了，尽管命运多舛， 他仍偷生，失去了他的天使他就丧生， 事情是自然而然地发生， 就如同夜幕降临，白日西沉。一个地位强大的人行善，让我得到安慰，一个身份卑微的人行善，让我得到的是自惭形秽。双手合十，为善，为善。(还是相信人总是趋向于光明的，无论现实世界多黑暗。内心的力量才是最强大的，指引着你走)
该来终会来,2012/6/19 18:48,不太喜欢那种矫情和繁冗。雨果很有知识和幻想力。对滑铁卢的描写属于印象派，描写的都是成碎片式。感觉没有托氏战争与和平中描写得清晰、条理分明。
oo!oo,2012/12/30 4:53,2006
约瑟夫C,2017/2/28 10:02,多年前读的
你的希澈笑嘻嘻,2020/1/26 0:10,断断续续地分了三次看完，15年看完了第一部，去年看到80%，在飞机和地铁上看完了剩下的部分，最后10%的内容是哭着看完的。第一部中最喜爱卡福汝主教，无论心思意念还是言语行为都有神的荣光，这是真正的信仰人。而我们普通人则更像冉阿让，始于苦难，终于救赎。在某个偶然的时刻被真光照亮了心灵的黑暗，从此便开始了灵魂的搏斗：善与恶的争战。而这争战没有硝烟却也是关于灵魂生死的争战。怀着敬畏的心，凡事交托倚靠后竭尽全力；常常自省；在苦难中学会忍耐，静默等候公正的那位来到。这也许就是所有信仰人该有的样式。
tehom,2013/3/4 22:45,小说里描绘的世界更加悲惨，因为作为希望活下来的珂赛特和马吕斯实在不讨人喜欢，特别是马吕斯的自私和冷酷实在让人不喜。。。冉阿让太可怜了
也者乎之,2013/2/15 10:35,终于读完了……
momo,2013/3/5 22:11,虽然看的是简化版的。。。但是还是觉得故事很吸引人。。。为看电影打下基础。。。哈哈哈哈哈
维法钵扎店,2018/7/17 14:43,周末去看了音乐剧。说句不好听的，雨果就是擅长用历史，建筑，政论把故事扯得支离破碎。然后李玉民这版的翻译说实在话我觉得挺差的。
英李豪,2017/5/13 4:34,讲真，在新华书店，人生第一次体会到，阅读至痛哭流涕无法自拔，吓尿了旁边的肖窈
瑞儿,2013/2/22 4:58,从动画片到原著，一路追过去。。
Bepa,2020/9/19 20:32,一部宏大的法国历史
