,word
0,雨果
1,所说
2,本世纪
3,三大
4,贫穷
5,使
6,男子
7,潦倒
8,饥饿
9,使
10,妇女
11,堕落
12,黑暗
13,使
14,儿童
15,羸弱
16,二十一
17,世纪
18,得到
19,解决
20,吗
21,悲惨世界
22,深思
23,逆境
24,意志
25,坚定
26,灵魂
27,得到
28,升华
29,意志薄弱
30,变得
31,丑陋
32,卑鄙
33,.
34,第三次
35,认真
36,悲惨世界
37,书是
38,常读
39,常新
40,第一次
41,小
42,主要
43,情节
44,喜欢
45,自己
46,想象
47,成
48,故事
49,人物
50,幻想
51,自己
52,像
53,冉阿让
54,一样
55,抱
56,珂
57,赛特
58,穿梭
59,于
60,街巷
61,躲避
62,沙威
63,追捕
64,或是
65,像
66,马吕斯
67,一样
68,隐匿
69,卢森堡
70,公园
71,阴暗
72,角落
73,捕捉
74,心上人
75,眼中
76,光芒
77,第二次
78,主要
79,想
80,看书
81,关于
82,革命
83,部分
84,1793
85,风云
86,激荡
87,1832
88,巴黎
89,暴动
90,以资
91,历史
92,复习
93,之用
94,虽然
95,历史
96,仍旧
97,读得
98,一知半解
99,冉阿让
100,成为
101,心中
102,萧峰
103,并列
104,圣人
105,形象
106,是因为
107,电影
108,一遍
109,一次
110,尽力
111,用
112,自己
113,心去
114,贴近
115,书中
116,人物
117,贴近
118,他们
119,内心
120,去
121,体会
122,冉阿让
123,愤怒
124,去
125,感知
126,沙威
127,挣扎
128,一种
129,经典
130,纠结
131,不已
132,有罪
133,受尽
134,磨难
135,怪
136,谁
137,呢
138,怪
139,任何人
140,怪
141,所有人
142,倒
143,觉得
144,那个
145,世界
146,多少
147,悲惨
148,倒
149,充满
150,温情
151,小学
152,所以
153,现在
154,满脑子
155,不忍心
156,自我牺牲
157,时代
158,早变
159,大气
160,厚重
161,历史感
162,强
163,安息
164,尽管
165,命运多舛
166,仍
167,偷生
168,失去
169,天使
170,丧生
171,事情
172,自然而然
173,地
174,发生
175,如同
176,夜幕降临
177,白日
178,西沉
179,小学
180,二年级
181,每晚
182,临睡前
183,我姐
184,捧
185,书念
186,听
187,姐姐
188,一边
189,念
190,一边
191,抹
192,眼泪
193,儿
194,~
195,大爱
196,那些
197,苦难
198,只是
199,光辉
200,人性
201,背景
202,而已
203,卷帙浩繁
204,今人
205,嫌
206,铺陈
207,过火
208,穿插
209,思考
210,似乎
211,故事
212,关联
213,大
214,恰恰
215,喜欢
216,那种
217,娓娓道来
218,仿佛
219,一位
220,已经
221,沧海
222,浮沉
223,长者
224,倾谈
225,「
226,王尔德
227,悲惨世界
228,发笑
229,者
230,此人
231,必
232,铁石心肠
233,」
234,最后
235,几章
236,实在
237,痛到
238,哭
239,出来
240,太
241,痛苦
242,太
243,悲痛
244,内心
245,强大
246,才能
247,做到
248,像
249,冉阿让
250,那样
251,活着
252,不易
253,能
254,活成
255,这样
256,更是
257,容易
258,赛特
259,这样
260,父亲
261,幸运
262,直到
263,冉阿让
264,走
265,知道
266,不是
267,自己
268,亲生
269,父亲
270,重要
271,伟大
272,父爱
273,无
274,关于
275,谁
276,谁
277,冉阿让
278,一生
279,未娶
280,只
281,为了
282,可怜
283,芳烃
284,女儿
285,小可
286,赛特
287,那些
288,句子
289,雨果
290,写
291,太美太美
292,所谓
293,经典
294,如此
295,罢
296,学校
297,图书馆
298,借
299,最后
300,今天
301,图书馆
302,大门
303,已经
304,封锁
305,本想
306,查看
307,大学
308,五年
309,借
310,多少
311,结果
312,只有
313,查无
314,此生
315,真是
316,雨果
317,人生
318,阅历
319,丰富
320,之后
321,集其
322,所思
323,所感
324,集大成
325,之作
326,震撼人心
327,杰作
328,愿
329,所有人
330,悲苦
331,均
332,可以
333,早日
334,过去
335,不是
336,喜欢
337,一直
338,想
339,一本
340,能
341,承受
342,多少
343,故事
344,以外
345,东西
346,一直
347,以来
348,无法
349,接受
350,鲁迅
351,文章
352,加进
353,太
354,个人
355,情绪
356,民族
357,情感
358,读者
359,吃力
360,巨著
361,自然
362,精彩
363,原因
364,所在
365,时代
366,带来
367,影响
368,或许
369,才
370,具有
371,影响力
372,原因
373,喜欢
374,死读书
375,所以
376,暂时
377,准备
378,继续
379,下去
380,既然
381,喜欢
382,毛姆
383,托尔斯泰
384,那么
385,先
386,他们
387,书吧
388,自有
389,一天
390,足够
391,沉淀
392,底蕴
393,主动
394,恭敬
395,捧
396,无论
397,多么
398,厚重
399,将
400,逐字
401,入心
402,哭
403,至
404,人事不省
405,冉阿让
406,临终前
407,问道
408,知道
409,烛台
410,送给
411,一位
412,天上
413,满意
414,已经
415,尽力而为
416,结尾
417,眼泪
418,止不住
419,往下掉
420,苦难
421,世界
422,誓愿
423,修成
424,天使
425,作品
426,相信
427,灵魂
428,可以
429,拯救
430,相信
431,世间
432,所有
433,黑暗
434,可以
435,驱散
436,开头
437,迪涅
438,主教
439,谈及
440,自己
441,时
442,认为
443,世上
444,不是
445,守护
446,自己
447,生命
448,而是
449,守护
450,灵魂
451,苦役
452,犯
453,冉阿让
454,于是
455,主教
456,光
457,找到
458,自己
459,天职
460,救赎
461,深渊
462,地狱
463,爬
464,出来
465,后来
466,一生
467,可以
468,用
469,华严经
470,这句
471,概括
472,于
473,诸
474,病苦
475,为作
476,良医
477,于
478,失道者
479,示其
480,正路
481,于暗
482,夜中
483,为作
484,光明
485,冉阿让
486,去世
487,前
488,义女
489,珂
490,赛特
491,她
492,丈夫
493,最后
494,嘱托
495,我要
496,走
497,孩子
498,你们
499,永远
500,相爱
501,世上
502,除了
503,相爱
504,什么
505,别的
506,东西
507,大概
508,全书
509,主题
510,吧
511,以此
512,缅怀
513,天津
514,爆炸
515,悲剧
516,其實
517,故事
518,真的
519,好看
520,但是
521,真的
522,認同
523,那種
524,扯出去
525,很遠
526,夾敘
527,夾議
528,寫法
529,小
530,說
531,創作
532,一定
533,程度
534,同意
535,亞氏
536,思想
537,我要
538,哭
539,啦
540,冉阿让
541,誰
542,說
543,改編
544,名著
545,必定
546,失敗
547,重读
548,一遍
549,还是
550,感动
551,翻译
552,大佳
553,童年
554,善良
555,启蒙
556,夹杂
557,很多
558,当时
559,社会
560,背景
561,描写
562,比如说
563,法国
564,大革命
565,对于
566,段
567,历史
568,了解
569,太
570,少
571,所以
572,看得
573,费力
574,人性
575,救赎
576,版本
577,呀
578,大
579,故事
580,其实
581,内容
582,大都
583,记得
584,只
585,记得
586,少年时期
587,读过
588,牛
589,逼
590,故事
591,哪天要
592,重读
593,一遍
594,顶峰
595,经典
596,最好
597,译本
598,时代
599,革命
600,风云
601,激荡
602,里面
603,有着
604,大量
605,心理
606,历史
607,描写
608,果然
609,比
610,电影
611,强太多
612,听
613,电影
614,重新
615,一遍
616,原著
617,写
618,的确
619,无敌
620,好
621,觉得
622,主人公
623,很蠢
624,当然
625,三观
626,扭曲
627,吧
628,╮
629,╯
630,▽
631,╰
632,╭
633,世界
634,美丽
635,光
636,善良
637,翻译
638,..
639,最后
640,那首
641,诗
642,生来死去
643,人生
644,规律
645,昼去
646,夜来
647,同样
648,道理
649,记得
650,五年级
651,完泪
652,崩
653,笑
654,书中
655,文字
656,读来
657,丝丝
658,甜
659,独自
660,阅读
661,夜晚
662,总是
663,那么
664,美好
665,十分
666,剧情
667,初中
668,时代
669,印象
670,最深
671,所谓
672,名著
673,£
674,喜马拉雅
675,听
676,之前
677,看书
678,一直
679,卡
680,描写
681,滑铁卢
682,一部分
683,听
684,的话
685,顺畅
686,终于
687,~
688,作者
689,啰嗦
690,~
691,~
692,kindle
693,版
694,整体
695,不错
696,个别
697,错别字
698,震撼
699,以后
700,失落
701,译得
702,不错
703,第一部
704,很少
705,入迷
706,大部头
707,悲惨世界
708,卑鄙
709,卑鄙
710,者
711,通行证
712,高尚
713,高尚
714,者
715,墓志铭
716,总之
717,格朗
718,泰尔
